,V1,V2,V3
217,0.205,0.103,0.026
218,0.205,0.077,0.0
219,0.154,0.077,0.051
220,0.231,0.282,0.205
221,0.128,0.051,0.077
222,0.154,0.128,0.103
223,0.256,0.128,0.0
224,0.256,0.205,0.103
225,0.077,0.0,0.051
226,0.154,0.103,0.051
227,0.154,0.026,0.0
228,0.128,0.051,0.051
229,0.179,-0.897,-0.974
230,0.128,0.0,0.0
231,0.179,0.077,0.026
232,0.128,0.103,0.103
233,0.154,0.0,-0.026
234,0.256,0.359,0.205
235,0.128,0.051,0.077
236,0.179,0.154,0.128
237,0.154,0.103,0.103
238,0.205,0.205,0.128
239,0.103,-0.282,-0.256
240,0.128,-0.641,-0.641
241,-0.154,0.564,0.846
242,0.128,-0.103,-0.103
243,0.154,-0.026,-0.051
244,0.026,-0.436,-0.333
245,0.128,0.0,0.026
246,0.205,0.026,-0.051
247,0.128,0.128,0.128
248,0.179,-0.385,-0.436
249,-0.026,2.513,2.667
250,0.256,0.513,0.385
251,0.103,0.051,0.077
252,0.179,0.103,0.051
253,0.256,0.205,0.077
254,0.128,0.026,0.026
255,0.154,0.0,-0.026
256,0.103,0.077,0.103
257,0.205,0.205,0.128
258,0.179,0.026,-0.026
259,0.179,0.077,0.026
260,-0.282,0.231,0.667
261,-0.333,-0.41,0.051
262,0.128,-0.154,-0.154
263,0.077,0.077,0.128
264,0.256,0.154,0.026
265,0.154,0.0,-0.026
266,0.128,0.077,0.051
267,0.128,0.051,0.051
268,0.231,0.179,0.077
269,0.231,0.333,0.231
270,0.051,-0.103,0.0
271,0.128,-0.026,-0.026
272,0.154,-0.769,-0.795
273,0.128,0.103,0.128
274,0.154,0.026,0.0
275,-0.333,-0.744,-0.282
276,0.256,0.231,0.077
277,0.051,-0.026,0.026
278,0.179,0.128,0.077
279,0.154,0.077,0.051
280,0.179,-0.718,-0.769
281,0.256,1.718,1.59
282,0.128,0.026,0.026
283,0.128,0.026,0.051
284,0.128,-0.846,-0.872
285,-0.231,-0.513,-0.154
286,0.103,0.051,0.077
287,0.179,0.051,0.0
288,0.103,0.41,0.436
289,0.179,-0.462,-0.513
290,-0.026,3.026,3.179
291,0.256,0.487,0.385
292,0.179,0.026,-0.026
293,-0.385,-0.256,0.282
294,0.231,0.333,0.231
295,0.154,-0.051,-0.051
296,0.154,0.103,0.077
297,0.154,0.0,-0.026
298,0.103,0.026,0.051
299,0.282,0.231,0.103
