,V1,V2,V3
219,0.194,0.222,0.139
220,0.222,0.056,0.194
221,0.056,0.222,0.111
222,0.111,0.139,0.056
223,-0.278,-0.083,-0.361
224,0.111,0.278,0.083
225,0.361,-0.139,0.194
226,0.111,-0.194,-0.194
227,-0.778,0.222,0.333
228,0.25,0.194,0.083
229,0.167,0.194,0.111
230,0.278,0.333,0.389
231,-0.389,-0.194,-0.361
232,0.333,0.167,0.361
233,0.222,0.222,0.167
234,0.056,0.306,0.028
235,0.139,-0.083,0.028
236,-0.194,0.25,-0.139
237,0.472,-0.056,0.361
238,0.0,0.528,0.25
239,0.083,-0.028,0.0
240,0.25,-0.083,-0.083
241,0.0,0.028,0.194
242,0.056,0.25,0.139
243,0.139,0.75,0.25
244,-0.056,-0.25,-0.028
245,0.25,0.111,0.111
246,0.056,0.333,0.083
247,1.389,0.278,-0.222
248,0.056,0.111,0.0
249,0.139,0.222,0.194
250,0.167,0.194,0.083
251,0.083,0.111,0.111
252,0.028,0.167,0.056
253,0.028,0.167,0.028
254,0.25,0.111,0.222
255,0.083,0.167,0.139
256,0.111,0.194,0.083
257,0.139,0.194,0.111
258,0.667,0.028,0.694
259,0.111,0.167,0.028
260,0.278,0.056,0.361
261,0.139,0.167,0.083
262,0.139,0.111,0.167
263,0.083,0.111,0.056
264,0.083,0.139,0.028
265,0.0,0.167,0.111
266,0.306,0.056,0.25
267,0.139,0.111,0.222
268,0.306,0.111,0.278
269,0.167,0.167,0.083
270,0.139,0.083,0.222
271,0.028,0.139,-0.056
272,0.194,0.083,0.25
273,0.139,0.139,0.056
274,0.167,0.167,0.111
275,0.111,0.194,0.194
276,0.139,0.167,0.056
277,0.194,0.083,0.111
278,0.167,0.222,0.222
279,0.111,0.167,0.056
280,0.139,0.083,0.083
281,0.167,0.167,0.194
282,0.139,0.139,0.083
283,0.167,0.194,0.111
284,0.778,0.139,0.917
285,0.083,0.194,0.056
286,0.167,0.056,0.222
287,0.25,0.083,0.25
288,0.194,0.167,0.083
289,0.139,0.167,0.25
290,0.333,0.083,0.306
291,0.139,0.111,0.306
292,0.194,0.111,0.111
293,0.222,0.083,0.222
294,0.167,0.139,0.167
295,0.139,0.194,0.111
296,0.083,0.167,0.222
297,0.139,0.167,0.028
298,0.111,0.167,0.167
299,0.167,0.222,0.139
